Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01308E+12,13-Jan-14,21-Dec-12,HPN,"Westchester County, White Plains",USAir  ,Personal Injury,Checked Baggage,Audio/Video; Jewelry & Watches,0.00,Deny
2.01408E+12,17-Jul-14,30-Jun-14,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0.00,Deny
2.01401E+12,7-Jan-14,27-Dec-13,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Food & Drink,50.00,Approve in Full
2.01401E+12,7-Jan-14,2-Jan-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,9-Jan-14,7-Jan-14,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0.00,Deny
2.01401E+12,13-Jan-14,15-Dec-13,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,14-Jan-14,24-Mar-13,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,-,-
2.01401E+12,14-Jan-14,23-Dec-13,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,198.33,Settle
2.01401E+12,23-Jan-14,29-Dec-13,PVD,"TF Green Airport, Providence",USAir  ,Property Damage,Checked Baggage,Audio/Video,89.99,Settle
2.01401E+12,27-Jan-14,1-Jan-14,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01402E+12,29-Jan-14,23-Jan-14,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,210.00,Settle
2.01402E+12,1-Feb-14,15-Dec-13,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01402E+12,4-Feb-14,14-Jan-14,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01402E+12,25-Jan-14,24-Jan-14,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.00,Deny
2.01402E+12,13-Feb-14,2-Feb-14,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,45.00,Approve in Full
2.01402E+12,11-Feb-14,19-Jan-14,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01402E+12,25-Feb-14,15-Feb-14,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Travel Accessories,40.00,Approve in Full
2.01402E+12,24-Feb-14,2-Jan-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,93.00,Approve in Full
2.01403E+12,25-Feb-14,15-Feb-14,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01403E+12,6-Mar-14,28-Feb-14,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,-,-
2.01403E+12,7-Mar-14,4-Mar-14,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other,344.00,Approve in Full
2.01403E+12,10-Mar-14,15-Mar-12,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,50.00,Approve in Full
2.01403E+12,17-Mar-14,24-Oct-13,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2.01403E+12,19-Mar-14,20-Jan-14,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Clothing,280.57,Settle
2.01403E+12,22-Mar-14,27-Feb-14,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,80.00,Approve in Full
2.01403E+12,25-Mar-14,6-Mar-14,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checkpoint,Medical/Science,93.21,Approve in Full
2.01404E+12,1-Apr-14,2-Nov-13,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,52.98,Approve in Full
2.01404E+12,2-Apr-14,10-Mar-14,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01404E+12,10-Apr-14,4-Apr-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,159.20,Approve in Full
2.01404E+12,16-Apr-14,13-Apr-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,587.11,Settle
2.01404E+12,21-Apr-14,3-Apr-14,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01404E+12,21-Apr-14,16-Mar-14,F,Foreign airport,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01404E+12,25-Apr-14,11-Apr-14,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,85.00,Approve in Full
2.01405E+12,1-May-14,3-Apr-14,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,208.59,Approve in Full
2.01405E+12,28-Apr-14,12-Mar-14,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Clothing,140.39,Settle
2.01405E+12,21-Apr-14,6-Sep-13,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,Other,1931.99,Settle
2.01405E+12,12-May-14,18-Apr-14,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2.01405E+12,19-May-14,29-Apr-14,DSM,Des Moines International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2.01405E+12,27-May-14,6-May-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,0.00,Deny
2.01405E+12,21-May-14,30-Dec-13,TPA,Tampa International,UAL  ,Property Damage,Checkpoint,Computer & Accessories,321.00,Settle
2.01406E+12,30-May-14,25-Feb-14,EWR,Newark International Airport,-,Personal Injury,Checkpoint,-,-,-
2.01406E+12,4-Jun-14,30-May-14,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,0.00,Deny
2.01406E+12,6-Jun-14,27-May-14,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,175.00,Settle
2.01406E+12,9-Jun-14,3-Jun-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,265.34,Settle
2.01406E+12,13-Jun-14,19-May-14,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,170.00,Settle
2.01406E+12,23-Jun-14,10-Jun-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2.01407E+12,24-Jun-14,22-Jun-14,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0.00,Deny
2.01407E+12,10-Jul-14,23-Jun-14,RNO,Reno/Tahoe International,USAir  ,Property Damage,Checked Baggage,Household Items; Other; Other,149.00,Approve in Full
2.01407E+12,1-Jul-14,27-Jun-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01407E+12,7-Jul-14,25-Mar-14,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checkpoint,Personal Electronics,269.00,Settle
2.01407E+12,24-Jul-14,27-Jun-14,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01407E+12,15-Jul-14,3-Jul-14,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checkpoint,Baggage/Cases/Purses,63.60,Approve in Full
2.01408E+12,4-Aug-14,1-Jul-14,TYS,"Mcghee Tyson ,Knoxville",-,Property Damage,Checkpoint,-,60.00,Approve in Full
2.01408E+12,21-Jul-14,12-Jul-14,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01408E+12,1-Aug-14,29-Jul-14,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,409.79,Approve in Full
2.01408E+12,28-Jul-14,4-May-14,SFO,San Francisco International,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01408E+12,30-Oct-14,13-Apr-14,LAS,McCarran International,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01408E+12,6-Aug-14,14-Jun-14,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checked Baggage,Cosmetics & Grooming,48.54,Approve in Full
2.01408E+12,14-Aug-14,19-Jul-14,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01409E+12,19-Aug-14,28-Jul-14,MEM,Memphis International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2.01409E+12,18-Aug-14,17-Jul-14,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,21.00,Approve in Full
2.01409E+12,20-Aug-14,28-Jul-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2.01409E+12,19-Aug-14,16-Aug-14,SEA,Seattle-Tacoma International,All Nippon Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01409E+12,5-Sep-14,30-Jul-14,DTW,Detroit Metropolitan Wayne County Airport,UAL  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,362.50,Settle
2.01409E+12,8-Sep-14,26-Aug-14,BDL,Bradley International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,100.00,Approve in Full
2.01409E+12,14-Sep-14,30-Aug-14,PHX,Phoenix Sky Harbor International,American Airlines  ,Property Damage,Checked Baggage,Medical/Science,-,-
2.01409E+12,12-Sep-14,10-Sep-14,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.0141E+12,22-Sep-14,15-Sep-14,PHX,Phoenix Sky Harbor International,UAL  ,Personal Injury,Checkpoint,Other,-,-
2.0141E+12,25-Sep-14,29-Aug-14,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.0141E+12,29-Sep-14,24-Aug-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.0141E+12,6-Oct-14,5-Oct-14,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras,0.00,Deny
2.0141E+12,8-Oct-14,3-Oct-14,MIA,Miami International Airport,Aero Flot,Property Damage,Checked Baggage,Other,-,-
2.0141E+12,16-Oct-14,16-Sep-14,SEA,Seattle-Tacoma International,Frontier Airlines,Passenger Property Loss,Checked Baggage,-,28.00,Approve in Full
2.0141E+12,7-Oct-14,15-Aug-14,SIT,Sitka 'Rocky Guitierrez',Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2.0141E+12,23-Oct-14,8-Oct-14,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,-,0.00,Deny
2.0141E+12,24-Oct-14,11-Oct-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01411E+12,30-Oct-14,27-Aug-14,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01411E+12,2-Nov-14,24-Oct-14,PIE,St. Petersburg-Clearwater International,Sun Country Airlines Inc  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01411E+12,4-Nov-14,5-Sep-14,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Cosmetics & Grooming,-,-
2.01411E+12,10-Nov-14,23-Oct-14,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0.00,Deny
2.01411E+12,14-Nov-14,7-Nov-14,EWR,Newark International Airport,Air Canada,Passenger Property Loss,Checkpoint,Currency,-,-
2.01411E+12,24-Nov-14,24-Nov-14,SNA,John Wayne,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2.01411E+12,24-Nov-14,17-Nov-14,SRQ,Sarasota Bradenton International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,-,-
2.01412E+12,16-Nov-14,10-Nov-14,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checkpoint,Personal Accessories,-,-
2.01412E+12,5-Dec-14,13-Nov-14,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,368.52,Settle
2.01412E+12,2-Dec-14,29-Nov-14,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checked Baggage,-,-,-
2.01412E+12,10-Dec-14,7-Nov-14,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Property Damage,Checkpoint,Other,-,-
2.01412E+12,15-Dec-14,12-Dec-14,SFO,San Francisco International,American Airlines  ,Property Damage,Checked Baggage,Clothing,-,-
2.01412E+12,18-Dec-14,12-Dec-14,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,-,-
2.01412E+12,29-Dec-14,13-Dec-14,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01501E+12,31-Dec-14,3-Aug-14,DCA,Ronald Reagan Washington National Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,-,-
2.01207E+12,3-Feb-14,4-Feb-12,ZZZ,Unspecified Personal Injury,-,Personal Injury,Other,-,0.00,Deny
2.01305E+12,18-Apr-14,22-Apr-13,ACY,Atlantic City International,-,Motor Vehicle,Motor Vehicle,Baggage/Cases/Purses,2233.86,Settle
2.01308E+12,24-Apr-14,2-Aug-13,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,20000.00,Settle
2.01308E+12,3-Jul-14,23-Jul-13,BNA,Nashville International,Southwest Airlines  ,Personal Injury,Checkpoint,Other,-,-
2.01308E+12,24-Feb-14,25-May-13,PHX,Phoenix Sky Harbor International,USAir  ,Personal Injury,Checkpoint,-,-,-
2.01309E+12,13-Jan-14,26-Dec-12,DCA,Ronald Reagan Washington National Airport,USAir  ,Personal Injury,Checkpoint,Other,0.00,Deny
2.0131E+12,14-Feb-14,13-Jul-12,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Personal Injury,Checkpoint,-,-,-
2.0131E+12,22-May-14,26-Sep-13,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,-,-
2.01311E+12,9-Feb-14,7-Sep-13,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0.00,Deny
2.01312E+12,21-Jul-14,15-May-13,JAX,Jacksonville International,-,Personal Injury,Checkpoint,-,-,-
2.01312E+12,12-Feb-14,7-Mar-13,RSW,Southwest Florida International,USAir  ,Personal Injury,Checkpoint,Other,0.00,Deny
2.01312E+12,21-May-14,30-Nov-13,MCO,Orlando International Airport,Delta Air Lines  ,Personal Injury,Checkpoint,-,0.00,Deny
2.01401E+12,2-Jan-14,20-Nov-13,PDX,Portland International,-,Property Damage,Checkpoint,Clothing,44.00,Approve in Full
2.01401E+12,6-Jan-14,7-Nov-13,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,95.00,Approve in Full
2.01401E+12,6-Jan-14,19-Dec-13,BOS,Boston (Logan) International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01401E+12,21-Mar-14,21-Dec-13,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01401E+12,6-Jan-14,22-Dec-13,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checked Baggage,Other,0.00,Deny
2.01401E+12,2-Jan-14,23-Dec-13,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,1735.91,Approve in Full
2.01401E+12,2-Jan-14,7-Nov-13,OGG,"Kahului-Maui, HI",Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,11.99,Approve in Full
2.01401E+12,2-Jan-14,21-Dec-12,RAP,Rapid City Regional,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,-
2.01401E+12,2-Jan-14,14-Dec-13,RSW,Southwest Florida International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,14.99,Approve in Full
2.01401E+12,2-Jan-14,19-Dec-13,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,0.00,Deny
2.01401E+12,2-Jan-14,29-Nov-13,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Personal Accessories,475.16,Approve in Full
2.01401E+12,2-Jan-14,3-Dec-13,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,3-Dec-13,RDU,Raleigh-Durham International,American Airlines  ,Property Damage,Checkpoint,Personal Electronics,49.00,Approve in Full
2.01401E+12,2-Jan-14,15-Dec-13,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,2-Jan-14,15-Dec-13,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,0.00,Deny
2.01401E+12,2-Jan-14,13-Dec-13,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checkpoint,Jewelry & Watches,1385.00,Approve in Full
2.01401E+12,2-Jan-14,9-Oct-13,PDX,Portland International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,17-Dec-13,SAT,San Antonio International,American Airlines  ,Passenger Property Loss,Checkpoint,Medical/Science,-,-
2.01401E+12,2-Jan-14,31-Dec-13,IAH,Houston - George Bush Intercontinental Airport,Spirit Airlines,Property Damage,Checked Baggage,Household Items,0.00,Deny
2.01401E+12,2-Jan-14,5-Dec-13,MIA,Miami International Airport,-,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2.01401E+12,2-Jan-14,28-Dec-13,PWM,Portland International Jetport,Jet Blue,Property Damage,Checked Baggage,Clothing; Food & Drink,0.00,Deny
2.01401E+12,3-Jan-14,2-Jan-14,MOB,Mobile Regional,-,Property Damage,Checked Baggage,Household Items,0.00,Deny
2.01401E+12,2-Jan-14,16-Dec-13,SJC,Norman Y Mineta San Jose International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,0.00,Deny
2.01401E+12,2-Jan-14,10-Dec-13,MSY,New Orleans International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,12.00,Approve in Full
2.01401E+12,2-Jan-14,11-Dec-13,BTR,Baton Rouge Metropolitan,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01401E+12,2-Jan-14,31-Dec-13,IAD,Washington Dulles International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Computer & Accessories; Other,162.19,Approve in Full
2.01401E+12,2-Jan-14,8-Dec-13,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,77.27,Settle
2.01401E+12,2-Jan-14,26-Nov-13,DFW,Dallas-Fort Worth International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,189.48,Settle
2.01401E+12,2-Jan-14,17-Dec-13,LGA,LaGuardia ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,20-Dec-13,HOU,William P. Hobby,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,-,-
2.01401E+12,3-Jan-14,23-Dec-13,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2.01401E+12,2-Jan-14,8-Nov-13,MCO,Orlando International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01401E+12,2-Jan-14,5-Dec-13,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Baggage/Cases/Purses,30.00,Approve in Full
2.01401E+12,2-Jan-14,3-Dec-13,SNA,John Wayne,UAL  ,Property Damage,Checkpoint,Personal Electronics,135.31,Settle
2.01401E+12,2-Jan-14,9-Dec-13,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,0.00,Deny
2.01401E+12,3-Jan-14,1-Jan-14,RDU,Raleigh-Durham International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,254.06,Approve in Full
2.01401E+12,2-Jan-14,5-Dec-13,TPA,Tampa International,Delta Air Lines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,29-Dec-13,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.00,Deny
2.01401E+12,1-Jan-14,18-Dec-13,SUX,Sioux Gateway,American Airlines  ,Passenger Property Loss,Checked Baggage,Currency,0.00,Deny
2.01401E+12,2-Jan-14,10-Sep-13,MCO,Orlando International Airport,British Airways  ,Property Damage,Checkpoint,Jewelry & Watches,117.13,Settle
2.01401E+12,2-Jan-14,25-Dec-13,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01401E+12,2-Jan-14,29-Dec-13,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,0.00,Deny
2.01401E+12,2-Jan-14,6-Dec-13,SAN,San Diego International,American Airlines  ,Property Damage,Checkpoint,Personal Accessories,124.95,Approve in Full
2.01401E+12,3-Jan-14,20-Nov-13,SFO,San Francisco International,-,Property Damage,Other,-,899.99,Approve in Full
2.01401E+12,2-Jan-14,31-Oct-13,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,15-Dec-13,DFW,Dallas-Fort Worth International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,90.00,Approve in Full
2.01401E+12,2-Jan-14,24-Dec-13,LGB,Long Beach,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,9-Oct-13,PBI,Palm Beach International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01401E+12,2-Jan-14,9-Dec-13,LAS,McCarran International,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01401E+12,2-Jan-14,1-Dec-13,PHL,Philadelphia International Airport,-,Passenger Property Loss,Checkpoint,Clothing,-,-
2.01401E+12,2-Jan-14,17-Sep-13,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,Clothing,0.00,Deny
2.01401E+12,5-Jan-14,1-Jan-14,LAX,Los Angeles International Airport ,Sun Country Airlines Inc  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01401E+12,3-Jan-14,16-Dec-13,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Computer & Accessories,531.74,Approve in Full
2.01401E+12,2-Jan-14,27-Dec-13,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01401E+12,3-Jan-14,26-Dec-13,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,78.87,Approve in Full
2.01401E+12,2-Jan-14,14-Oct-13,RDU,Raleigh-Durham International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0.00,Deny
2.01401E+12,3-Jan-14,1-Jan-14,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checked Baggage,Home Decor,0.00,Deny
2.01401E+12,2-Jan-14,20-Sep-13,SYR,Syracuse-Hancock International,-,Property Damage,Checkpoint,Jewelry & Watches,272.50,Settle
2.01401E+12,2-Jan-14,9-Dec-13,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checkpoint,Food & Drink,9.99,Approve in Full
2.01401E+12,2-Jan-14,3-Dec-13,SMF,Sacramento International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Other,0.00,Deny
2.01401E+12,6-Jan-14,19-Dec-13,DEN,Denver International Airport ,Frontier Airlines,Property Damage,Checked Baggage,Toys & Games,0.00,Deny
2.01401E+12,2-Jan-14,4-May-13,ORD,Chicago O'Hare International Airport,Virgin America,Property Damage,Checkpoint,Personal Electronics,0.00,Deny
2.01401E+12,6-Jan-14,25-Dec-13,STL,Lambert St. Louis International,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,100.00,Approve in Full
2.01401E+12,2-Jan-14,29-Dec-13,PDX,Portland International,-,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01401E+12,6-Jan-14,24-Aug-12,TPA,Tampa International,-,Passenger Property Loss,Checked Baggage,Personal Accessories,0.00,Deny
2.01401E+12,2-Jan-14,23-Dec-13,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,6-Jan-14,26-Dec-13,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,99.00,Approve in Full
2.01401E+12,2-Jan-14,4-Dec-13,LAS,McCarran International,Southwest Airlines  ,Property Damage,Checked Baggage,Audio/Video,0.00,Deny
2.01401E+12,2-Jan-14,14-Dec-13,PBI,Palm Beach International,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,310.00,Approve in Full
2.01401E+12,6-Jan-14,11-Jun-13,SEA,Seattle-Tacoma International,Alaska Airlines  ,Property Damage,Checkpoint,Personal Accessories,115.38,Settle
2.01401E+12,3-Jan-14,26-Dec-13,PBI,Palm Beach International,Southwest Airlines  ,Property Damage,Checked Baggage,Other,626.89,Approve in Full
2.01401E+12,6-Jan-14,3-Jan-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2.01401E+12,6-Jan-14,1-Jan-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01401E+12,2-Jan-14,29-Dec-13,OAK,Metropolitan Oakland International,Southwest Airlines  ,Property Damage,Checkpoint,Hunting & Fishing Items,100.00,Approve in Full
