Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01405E+12,9-May-14,2-Mar-14,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,13-May-14,15-Apr-14,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,395.57,Approve in Full
2.01405E+12,23-Apr-14,15-Jun-13,-,-,-,Personal Injury,Checkpoint,-,-,-
2.01405E+12,13-May-14,10-May-14,F,Foreign airport,British Airways  ,Property Damage,Checked Baggage,-,0.00,Deny
2.01405E+12,8-May-14,24-Apr-14,DCA,Ronald Reagan Washington National Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Personal Electronics,0.00,Deny
2.01405E+12,7-May-14,22-Apr-14,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,20.54,Approve in Full
2.01405E+12,8-May-14,15-Mar-14,LAX,Los Angeles International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01405E+12,15-May-14,22-Apr-14,DEN,Denver International Airport ,Frontier Airlines,Property Damage,Checkpoint,Personal Accessories,199.95,Approve in Full
2.01405E+12,7-May-14,10-Apr-14,OAK,Metropolitan Oakland International,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,0.00,Deny
2.01405E+12,12-May-14,25-Mar-14,HNL,Honolulu International Airport,-,Property Damage,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01405E+12,14-May-14,14-May-13,MCO,Orlando International Airport,AirTran Airlines,Property Damage,Checked Baggage,Toys & Games,0.00,Deny
2.01405E+12,5-May-14,7-Apr-14,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming,0.00,Deny
2.01405E+12,12-May-14,4-May-14,CLT,Charlotte/Douglas International Airport,USAir  ,Property Damage,Checkpoint,Baggage/Cases/Purses,50.00,Approve in Full
2.01405E+12,7-May-14,2-May-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing; Clothing; Cosmetics & Grooming; Personal Accessories,0.00,Deny
2.01405E+12,4-Jun-14,4-Dec-13,AUS,Austin-Bergstrom International Airport,Southwest Airlines  ,Personal Injury,Checkpoint,Other,0.00,Deny
2.01405E+12,7-May-14,3-May-14,RSW,Southwest Florida International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,85.00,Approve in Full
2.01405E+12,12-May-14,29-Apr-14,ITO,Hilo International,UAL  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,-
2.01405E+12,7-May-14,26-Apr-14,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01405E+12,6-May-14,2-May-14,SAT,San Antonio International,UAL  ,Property Damage,Checkpoint,Clothing,86.64,Approve in Full
